Form Name,Timestamp,Course Rating,Guidelines Before,Guidelines After,Improvement Efforts,Sharing Interest,Instructor Rating,Accessibility Rating,Navigation Rating,Current Profession,Student Count,Student Location,Online/In-Person
Online K-12,9/7/2020 14:03:45,4,Low,High,3,Average,4,4,3,Non-Formal Educator,2000,Urban,Online
Online K-12,9/7/2020 15:04:57,4,Low,High,4,High,5,4,4,Non-Formal Educator,3000,Suburban,Online
Online K-12,9/8/2020 16:14:44,4,High,High,5,High,4,4,4,Non-Formal Educator,1000,Mix of Areas,Online
Online K-12,9/9/2020 0:35:53,5,Very Low,High,5,High,5,4,5,Non-Formal Educator,3000,Mix of Areas,Online
Online K-12,9/9/2020 10:33:40,5,Low,Very High,5,Very High,5,5,4,Non-Formal Educator,800,Rural,Online
Online K-12,9/9/2020 13:04:21,5,Low,High,5,Very High,5,5,5,Non-Formal Educator,500,Urban,Online
Online K-12,9/9/2020 17:16:28,4,Average,High,4,High,5,4,4,"Non-Formal Educator, Program Director/Administrator",500,Suburban,Online
Online K-12,9/9/2020 22:31:46,5,Very Low,High,5,Very High,5,4,4,"Non-Formal Educator, Program Director/Administrator",1000,Mix of Areas,Online
Online K-12,9/13/2020 23:19:25,4,Very Low,Average,4,High,5,5,4,"Non-Formal Educator, Program Director/Administrator",25,Urban,Online
Online K-12,9/16/2020 11:36:56,5,Low,High,5,Very High,5,5,5,"PreK-12 Classroom Teacher, Graduate Student",22,Suburban,Online
Online K-12,9/16/2020 16:47:24,5,Very Low,High,5,High,5,5,5,"Non-Formal Educator, Park Ranger",2000,Mix of Areas,Online
Online K-12,9/16/2020 17:24:37,5,Low,Average,4,High,5,4,3,PreK-12 Classroom Teacher,18,Rural,Online
Online K-12,9/17/2020 12:40:28,5,Low,Average,4,High,5,5,5,Conservation/Natural Resources Professional,25,Urban,Online
Online K-12,9/18/2020 8:57:09,5,Low,Average,4,High,5,5,4,Non-Formal Educator,100,Suburban,Online
Online K-12,9/18/2020 10:53:07,5,Very Low,Very High,5,Very High,5,5,5,Non-Formal Educator,150,Mix of Areas,Online
Online K-12,9/21/2020 15:34:51,4,Low,High,5,Average,5,4,5,"Non-Formal Educator, On-call kennel technician, but EE work is as NCMNS and SCT volunteer",1200,Mix of Areas,Online
Online K-12,9/22/2020 11:03:33,5,Low,High,5,Very High,5,5,5,Non-Formal Educator,300,Mix of Areas,Online
Online K-12,9/23/2020 11:55:25,5,Average,High,,High,5,5,5,Non-Formal Educator,2000,Mix of Areas,Online
Online K-12,9/24/2020 10:38:13,5,Very Low,High,5,Very High,5,5,5,"Non-Formal Educator, Program Director/Administrator",500,Mix of Areas,Online
Online K-12,9/24/2020 13:43:45,5,Very Low,High,4,High,5,5,5,College/University Instructor,300,Mix of Areas,Online
Online K-12,9/25/2020 11:35:40,4,Very Low,High,5,High,5,4,4,Non-Formal Educator,500,Suburban,Online
Online K-12,9/27/2020 19:10:58,5,Very Low,Very High,5,Very High,5,5,4,"Non-Formal Educator, Resource Developer",50,Mix of Areas,Online
Online K-12,9/28/2020 16:08:05,4,Average,High,5,High,5,5,3,Non-Formal Educator,500,Urban,Online
Online K-12,9/29/2020 23:23:10,5,Low,High,4,High,4,4,5,Non-Formal Educator,400,Mix of Areas,Online
Online K-12,10/22/2020 10:12:17,5,Very Low,High,5,Very High,5,5,5,Non-Formal Educator,2000,Mix of Areas,Online
Online K-12,10/23/2020 14:47:38,4,Very Low,Average,5,Average,5,5,4,Non-Formal Educator,30,Suburban,Online
Online K-12,10/25/2020 14:12:45,5,Low,Very High,5,High,5,5,5,PreK-12 Classroom Teacher,25,Suburban,Online
Online K-12,10/27/2020 12:31:15,5,Very Low,Very High,5,Very High,5,5,5,Non-Formal Educator,10,Rural,Online
Online K-12,10/27/2020 12:31:39,5,Very Low,Very High,5,Very High,5,5,5,Non-Formal Educator,10,Rural,Online
Online K-12,10/28/2020 13:29:46,4,Very Low,Average,4,Average,4,5,5,Non-Formal Educator,200,Rural,Online
Online K-12,10/28/2020 16:21:43,4,Low,Very High,4,High,5,5,5,Non-Formal Educator,2000,Rural,Online
Online K-12,10/30/2020 16:30:00,4,Average,High,4,High,5,5,5,Non-Formal Educator,200,Mix of Areas,Online
Online K-12,11/1/2020 11:16:51,5,Very Low,High,5,Very High,5,5,5,"Non-Formal Educator, School Counselor",100,Mix of Areas,Online
Online K-12,11/2/2020 14:54:50,5,Very Low,Very High,5,High,5,5,5,Non-Formal Educator,500,Mix of Areas,Online
Online K-12,11/2/2020 18:32:45,5,Low,High,5,High,5,5,5,Non-Formal Educator,1500,Mix of Areas,Online
Online K-12,11/4/2020 6:57:23,4,Very Low,Average,5,Very High,4,4,4,PreK-12 Classroom Teacher,20,Suburban,Online
Online K-12,11/4/2020 11:32:17,5,Very Low,Very High,5,Very High,5,5,5,Non-Formal Educator,30000,Suburban,Online
Online K-12,11/6/2020 17:44:25,4,Average,Very High,5,High,5,5,5,"Non-Formal Educator, Resource Developer",6000,Mix of Areas,Online
Online K-12,2/23/2021 11:44:50,5,Very Low,Very High,4,Very High,5,5,5,Non-Formal Educator,40,Mix of Areas,Online
Online K-12,2/24/2021 14:27:57,4,Low,High,5,Very High,4,4,4,Unemployed,0,Mix of Areas,Online
Online K-12,2/27/2021 8:54:59,5,Very Low,Very High,5,Very High,5,5,5,Non-Formal Educator,100,Mix of Areas,Online
Online K-12,3/1/2021 9:29:17,4,Low,High,4,High,4,4,4,Non-Formal Educator,200,Urban,Online
Online K-12,3/29/2021 11:06:38,5,Average,High,4,High,5,5,4,College/University Instructor,150,Mix of Areas,Online
Online K-12,3/29/2021 11:08:57,5,Average,High,4,High,5,5,4,College/University Instructor,150,Mix of Areas,Online
Online K-12,3/29/2021 17:06:30,5,Low,Very High,5,High,5,5,4,Non-Formal Educator,100,Mix of Areas,Online
Online K-12,4/6/2021 12:39:31,5,Low,Very High,5,Very High,5,5,5,PreK-12 Classroom Teacher,100,Urban,Online
Online K-12,4/8/2021 11:07:59,4,Low,High,4,High,4,5,4,"Non-Formal Educator, Conservation/Natural Resources Professional",30,Mix of Areas,Online
Online K-12,4/8/2021 14:57:59,5,Low,High,5,Very High,5,5,4,"Non-Formal Educator, Conservation/Natural Resources Professional",600,Suburban,Online
Online K-12,4/8/2021 17:16:33,4,Average,High,4,High,4,4,4,Non-Formal Educator,25000,Mix of Areas,Online
Online K-12,4/9/2021 18:28:25,4,Average,High,5,High,4,4,3,College/University Instructor,50,Mix of Areas,Online
Online K-12,4/11/2021 21:48:46,5,Low,High,5,Very High,5,5,4,Non-Formal Educator,20,Mix of Areas,Online
Online K-12,12/14/2021 19:56:22,4,Low,Average,5,High,5,5,4,"Non-Formal Educator, Program Director/Administrator",8000,Mix of Areas,Online
Online K-12,12/15/2021 9:01:42,5,Very Low,Very High,5,High,5,4,5,Non-Formal Educator,500,Mix of Areas,Online
Online K-12,12/15/2021 15:31:32,4,Very Low,High,4,High,5,4,5,Program Director/Administrator,6500,Suburban,Online
Online K-12,12/15/2021 17:30:51,2,Low,Average,4,Average,4,4,5,Non-Formal Educator,50,Suburban,Online
Online K-12,12/16/2021 15:12:05,4,Very Low,Average,4,High,5,4,4,Non-Formal Educator,500,Rural,Online
Online K-12,12/18/2021 17:25:54,5,Average,Very High,5,Very High,5,5,5,Program Director/Administrator,300,Mix of Areas,Online
Online K-12,12/20/2021 13:20:45,4,Low,High,5,High,5,5,5,Non-Formal Educator,500,Mix of Areas,Online
Online K-12,12/29/2021 16:23:38,5,Very High,Very High,4,Very High,5,5,4,Conservation/Natural Resources Professional,200,Mix of Areas,Online
Online K-12,1/7/2022 11:01:40,4,Average,High,5,Very High,5,5,5,Non-Formal Educator,2000,Rural,Online
Online K-12,1/10/2022 10:25:41,5,Low,High,5,High,5,5,5,Non-Formal Educator,600,Suburban,Online
Online K-12,1/24/2022 11:31:53,5,Average,Very High,5,High,5,5,4,Non-Formal Educator,500,Rural,Online
<<<<<<< Updated upstream
In-Person General Guidelines,12/14/2022 11:49:56,4,12/14/2022 11:49:56,4,5,Strongly Agree,5,5,N/A,Non-Formal Educator,500,Rural,In-Person
In-Person General Guidelines,12/14/2022 11:55:12,5,12/14/2022 11:55:12,5,5,Strongly Agree,5,5,N/A,"PreK-12 Classroom Teacher, Non-Formal Educator",3,Urban,In-Person
In-Person General Guidelines,12/14/2022 12:00:26,5,12/14/2022 12:00:26,5,5,Strongly Agree,5,5,N/A,PreK-12 Classroom Teacher,165,Rural,In-Person
In-Person General Guidelines,12/14/2022 11:58:47,5,12/14/2022 11:58:47,5,5,Strongly Agree,5,5,N/A,Conservation/Natural Resources Professional,n/a,A Mix of Areas,In-Person
In-Person General Guidelines,12/14/2022 12:04:23,4,12/14/2022 12:04:23,4,5,Strongly Agree,4,5,N/A,Non-Formal Educator,500,A Mix of Areas,In-Person
In-Person General Guidelines,12/14/2022 12:47:30,5,12/14/2022 12:47:30,5,5,Strongly Agree,5,5,N/A,PreK-12 Classroom Teacher,750,Suburban,In-Person
In-Person General Guidelines,12/14/2022 12:50:43,5,12/14/2022 12:50:43,5,5,Strongly Agree,5,5,N/A,PreK-12 Classroom Teacher,n/a,Rural,In-Person
In-Person General Guidelines,12/14/2022 12:54:16,5,12/14/2022 12:54:16,5,5,Strongly Agree,5,5,N/A,Non-Formal Educator,"10,000",A Mix of Areas,In-Person
In-Person General Guidelines,1/24/2023 14:59:06,5,1/24/2023 14:59:06,5,4,Agree,5,5,N/A,Student,0,A Mix of Areas,In-Person
In-Person General Guidelines,1/24/2023 17:53:28,5,1/24/2023 17:53:28,5,5,Strongly Agree,5,5,N/A,Student,N/A,Urban,In-Person
In-Person General Guidelines,1/24/2023 20:40:55,4,1/24/2023 20:40:55,4,4,Agree,5,4,N/A,College student,1000+,A Mix of Areas,In-Person
In-Person General Guidelines,1/25/2023 12:52:42,5,1/25/2023 12:52:42,5,4,Agree,5,5,N/A,University undergraduate student,0,Urban,In-Person
In-Person General Guidelines,1/26/2023 18:36:01,5,1/26/2023 18:36:01,5,4,Agree,5,5,N/A,student,0,A Mix of Areas,In-Person
In-Person General Guidelines,1/26/2023 19:38:33,5,1/26/2023 19:38:33,5,4,Agree,5,5,N/A,Environmental Education minor (college student),100,A Mix of Areas,In-Person
=======
In-Person General Guidelines,12/14/2022 11:49:56,4,Low,High,5,Very High,5,5,3,Non-Formal Educator,500,Rural,In-Person
In-Person General Guidelines,12/14/2022 11:55:12,5,Very Low,Very High,5,Very High,5,5,3,"PreK-12 Classroom Teacher, Non-Formal Educator",3,Urban,In-Person
In-Person General Guidelines,12/14/2022 12:00:26,5,Average,Very High,5,Very High,5,5,3,PreK-12 Classroom Teacher,165,Rural,In-Person
In-Person General Guidelines,12/14/2022 11:58:47,5,Low,Very High,5,Very High,5,5,3,Conservation/Natural Resources Professional,n/a,A Mix of Areas,In-Person
In-Person General Guidelines,12/14/2022 12:04:23,4,Very High,High,5,Very High,4,5,3,Non-Formal Educator,500,A Mix of Areas,In-Person
In-Person General Guidelines,12/14/2022 12:47:30,5,Average,Very High,5,Very High,5,5,3,PreK-12 Classroom Teacher,750,Suburban,In-Person
In-Person General Guidelines,12/14/2022 12:50:43,5,Low,Very High,5,Very High,5,5,3,PreK-12 Classroom Teacher,n/a,Rural,In-Person
In-Person General Guidelines,12/14/2022 12:54:16,5,Average,Very High,5,Very High,5,5,3,Non-Formal Educator,"10,000",A Mix of Areas,In-Person
In-Person General Guidelines,1/24/2023 14:59:06,5,Low,Very High,4,High,5,5,3,Student,0,A Mix of Areas,In-Person
In-Person General Guidelines,1/24/2023 17:53:28,5,Very Low,Very High,5,Very High,5,5,3,Student,N/A,Urban,In-Person
In-Person General Guidelines,1/24/2023 20:40:55,4,Average,High,4,High,5,4,3,College student,1000+,A Mix of Areas,In-Person
In-Person General Guidelines,1/25/2023 12:52:42,5,Low,Very High,4,High,5,5,3,University undergraduate student,0,Urban,In-Person
In-Person General Guidelines,1/26/2023 18:36:01,5,Very High,Very High,4,High,5,5,3,student,0,A Mix of Areas,In-Person
In-Person General Guidelines,1/26/2023 19:38:33,5,Average,Very High,4,High,5,5,3,Environmental Education minor (college student),100,A Mix of Areas,In-Person
>>>>>>> Stashed changes
